date,open,high,low,close,volume,name
26-Jan-17,131.63,133.14,131.44,132.78,20020141,FB
25-Jan-17,130,131.74,129.77,131.48,18777314,FB
24-Jan-17,129.38,129.9,128.38,129.37,15162724,FB
23-Jan-17,127.31,129.25,126.95,128.93,16593563,FB
20-Jan-17,128.1,128.48,126.78,127.04,19097223,FB
19-Jan-17,128.23,128.35,127.45,127.55,12195465,FB
18-Jan-17,128.41,128.43,126.84,127.92,13145852,FB
17-Jan-17,128.04,128.34,127.4,127.87,15294460,FB
13-Jan-17,127.49,129.27,127.37,128.34,24884325,FB
12-Jan-17,125.61,126.73,124.8,126.62,18653914,FB
11-Jan-17,124.35,126.12,124.06,126.09,18356523,FB
10-Jan-17,124.82,125.5,124.28,124.35,17324590,FB
9-Jan-17,123.55,125.43,123.04,124.9,22880360,FB
6-Jan-17,120.98,123.88,120.03,123.41,28545263,FB
5-Jan-17,118.86,120.95,118.32,120.67,19492150,FB
4-Jan-17,117.55,119.66,117.29,118.69,19630932,FB
3-Jan-17,116.03,117.84,115.51,116.86,20663912,FB
30-Dec-16,116.6,116.83,114.77,115.05,18684106,FB
29-Dec-16,117,117.53,116.06,116.35,9934873,FB
28-Dec-16,118.19,118.25,116.65,116.92,12087377,FB
27-Dec-16,116.96,118.68,116.86,118.01,12051481,FB
23-Dec-16,117,117.56,116.3,117.27,10889985,FB
22-Dec-16,118.86,118.99,116.93,117.4,16258587,FB
21-Dec-16,118.92,119.2,118.48,119.04,10767646,FB
20-Dec-16,119.5,119.77,118.8,119.09,13684402,FB
19-Dec-16,119.85,120.36,118.51,119.24,15918146,FB
16-Dec-16,120.9,121.5,119.27,119.87,25324299,FB
15-Dec-16,120.08,122.5,119.63,120.57,20139568,FB
14-Dec-16,120,121.69,118.85,120.21,25913095,FB
13-Dec-16,117.86,121.52,117.61,120.31,29768028,FB
12-Dec-16,119.22,119.24,117.65,117.77,17805527,FB
9-Dec-16,119.22,119.94,118.95,119.68,17464736,FB
8-Dec-16,117.98,119.5,117.64,118.91,22442756,FB
7-Dec-16,117,117.95,116.57,117.95,21913658,FB
6-Dec-16,117.69,117.8,116.33,117.31,19131202,FB
5-Dec-16,115.95,117.57,115.07,117.43,20201528,FB
2-Dec-16,115.11,116.48,114.3,115.4,25070364,FB
1-Dec-16,118.38,118.45,114,115.1,43276994,FB
30-Nov-16,120.32,121.79,117.95,118.42,30188922,FB
29-Nov-16,120.57,122.1,120.4,120.87,18890956,FB
28-Nov-16,120.12,121.69,119.82,120.41,18101314,FB
25-Nov-16,121.01,121.14,120.07,120.38,8658605,FB
23-Nov-16,121.23,121.31,119.94,120.84,15672136,FB
22-Nov-16,122.4,122.98,120.9,121.47,26089163,FB
21-Nov-16,118.2,121.95,117.8,121.77,35415366,FB
18-Nov-16,118.39,119.13,116.84,117.02,22879303,FB
17-Nov-16,116.81,117.79,116.01,117.79,18556202,FB
16-Nov-16,114.48,117.88,114.21,116.34,32397947,FB
15-Nov-16,116.73,118.49,115.83,117.2,34681369,FB
26-Jan-17,837.81,838,827.01,832.15,2973891,GOOG
25-Jan-17,829.62,835.77,825.06,835.67,1627304,GOOG
24-Jan-17,822.3,825.9,817.82,823.87,1474010,GOOG
23-Jan-17,807.25,820.87,803.74,819.31,1963628,GOOG
20-Jan-17,806.91,806.91,801.69,805.02,1670045,GOOG
19-Jan-17,805.12,809.48,801.8,802.18,919325,GOOG
18-Jan-17,805.81,806.2,800.99,806.07,1294407,GOOG
17-Jan-17,807.08,807.14,800.37,804.61,1362115,GOOG
13-Jan-17,807.48,811.22,806.69,807.88,1099215,GOOG
12-Jan-17,807.14,807.39,799.17,806.36,1353057,GOOG
11-Jan-17,805,808.15,801.37,807.91,1065936,GOOG
10-Jan-17,807.86,809.13,803.51,804.79,1176780,GOOG
9-Jan-17,806.4,809.97,802.83,806.65,1274645,GOOG
6-Jan-17,795.26,807.9,792.2,806.15,1640170,GOOG
5-Jan-17,786.08,794.48,785.02,794.02,1335167,GOOG
4-Jan-17,788.36,791.34,783.16,786.9,1072958,GOOG
3-Jan-17,778.81,789.63,775.8,786.14,1657268,GOOG
30-Dec-16,782.75,782.78,770.41,771.82,1769950,GOOG
